date,count
10/22/17,28
10/22/15,90
2/26/18,63
12/14/17,149
6/4/17,307
11/11/15,8
11/11/14,2
2/26/16,13
9/1/16,12
11/10/17,245
8/9/16,71
8/9/17,549
8/3/17,389
7/1/17,56
5/24/16,4
4/26/16,40
4/26/17,353
6/15/15,1
3/15/17,17
3/15/16,130
4/14/15,12
9/30/17,153
9/5/15,256
6/8/16,73
11/13/15,42
11/13/14,9
4/16/15,11
3/17/17,34
3/17/16,34
3/30/17,254
7/13/15,58
1/22/17,51
7/13/17,47
7/13/16,175
6/5/15,67
6/5/16,3
6/5/17,330
10/23/15,46
10/23/17,93
10/23/16,11
9/3/16,27
12/19/16,3
12/19/17,158
10/28/15,49
10/28/16,6
10/28/17,2
6/9/15,7
6/9/16,42
6/9/17,168
8/11/16,98
1/28/17,129
10/21/17,83
10/21/16,9
10/21/15,80
7/7/15,139
3/16/17,34
7/7/17,4
7/7/16,94
8/13/17,241
1/19/15,37
7/12/16,113
7/12/17,18
7/12/15,8
3/1/17,103
3/1/16,69
6/4/15,19
7/14/17,1
2/18/17,6
12/3/17,175
2/20/16,59
9/7/16,80
9/7/15,324
2/18/16,24
12/16/17,131
10/20/15,96
10/20/16,119
10/20/17,157
2/20/18,57
9/12/15,44
9/12/16,28
9/12/17,251
3/14/16,115
3/14/17,40
3/3/18,122
12/2/17,341
12/2/16,5
8/7/16,52
9/5/17,243
8/7/17,448
6/6/15,35
10/7/17,157
3/3/17,13
3/3/16,13
9/11/15,35
9/11/17,357
9/11/16,131
8/18/17,231
8/18/16,16
8/18/15,109
11/15/15,102
11/15/17,342
11/15/16,98
3/2/16,103
3/2/17,33
12/18/17,203
9/13/17,284
9/13/16,28
9/13/15,569
6/16/16,157
8/29/17,275
8/29/15,175
3/19/17,83
3/13/17,25
5/29/15,82
4/12/16,20
10/27/15,36
3/9/16,40
10/27/17,197
10/27/16,2
1/26/17,170
1/31/18,472
1/31/17,131
1/31/16,2
5/24/17,123
4/18/16,10
9/15/15,168
9/15/17,134
9/15/16,54
7/31/15,16
8/19/15,74
8/19/16,2
7/31/16,203
5/28/17,604
6/17/16,154
7/4/17,464
11/1/17,238
3/5/18,198
3/5/17,70
3/5/16,90
3/12/16,231
3/12/17,11
1/30/16,21
4/13/15,5
3/6/18,158
5/25/16,1
11/17/16,12
9/10/16,111
9/10/17,142
9/10/15,95
5/17/17,161
6/3/17,341
9/14/16,7
9/14/17,196
9/14/15,43
7/3/17,83
8/23/17,274
11/17/15,26
4/25/17,90
4/25/16,20
6/16/15,14
8/28/17,104
11/8/16,86
8/24/17,166
5/27/15,54
5/27/16,2
5/27/17,83
8/1/16,356
2/23/17,83
4/1/16,118
4/1/17,201
11/11/17,226
4/1/15,18
3/8/18,159
11/8/17,86
5/26/17,298
5/26/16,10
7/30/16,189
7/30/17,365
7/30/15,31
6/23/17,41
7/8/15,104
7/8/16,147
12/31/15,26
4/13/17,52
4/30/17,830
4/30/16,19
6/23/16,88
7/11/17,37
6/17/15,34
4/24/16,17
1/30/17,38
1/30/18,187
6/17/17,10
7/17/15,14
8/6/16,36
7/17/17,70
11/8/15,46
11/1/15,55
6/13/16,191
10/8/17,159
10/8/16,132
6/13/17,350
6/28/16,118
6/11/15,3
9/1/15,115
6/20/16,16
6/20/17,68
6/20/15,32
11/14/16,61
4/5/15,3
11/14/14,1
11/14/15,1
5/21/16,103
7/15/16,87
7/15/15,12
5/21/15,27
2/15/16,58
11/11/16,9
2/28/18,41
1/14/17,3
4/7/16,1
4/7/17,104
3/31/17,80
3/31/16,36
4/10/17,124
6/10/15,28
4/29/17,459
4/23/17,12
6/10/16,5
11/16/14,2
11/16/15,38
11/16/16,18
11/16/17,74
8/16/15,86
8/16/17,230
8/16/16,47
9/8/16,51
6/22/15,29
6/22/16,80
9/8/15,275
7/9/17,2
7/9/16,145
7/9/15,39
4/10/16,1
3/4/17,36
4/21/17,155
4/21/16,134
6/12/15,9
7/10/15,38
7/10/16,140
3/4/18,266
11/14/17,162
7/5/16,193
12/28/17,2
2/8/18,134
2/10/18,86
2/8/17,42
4/6/17,131
4/6/16,45
7/1/15,5
1/28/16,42
3/30/16,48
9/25/16,11
3/30/15,7
1/16/16,96
1/11/18,86
9/26/17,223
9/26/16,42
9/26/15,86
1/1/16,1
8/13/16,7
7/14/15,21
7/14/16,173
8/13/15,113
9/24/15,5
9/24/17,220
9/24/16,3
4/8/17,34
4/8/16,18
9/9/15,108
8/6/17,452
9/9/17,121
9/9/16,133
11/2/15,29
11/2/16,104
3/13/16,269
10/26/17,122
6/8/17,160
2/10/17,29
1/2/16,5
1/11/16,1
4/9/17,55
7/3/15,3
5/17/16,40
4/4/17,187
4/4/16,32
1/2/18,48
7/11/16,94
8/10/17,317
8/10/16,68
8/10/15,5
8/28/15,98
8/12/15,25
8/12/17,27
8/12/16,25
6/13/15,14
4/20/16,53
4/20/17,58
1/6/18,174
3/11/18,20
1/24/18,77
9/17/16,21
9/17/15,82
2/28/17,22
3/11/17,4
3/11/16,124
10/26/15,45
9/25/17,214
9/25/15,186
1/11/15,18
1/11/17,62
2/10/16,73
6/24/16,34
6/24/17,94
6/24/15,6
6/15/16,91
2/24/17,39
11/18/17,2
1/6/16,16
11/18/15,76
7/16/17,255
5/16/16,36
7/16/15,26
8/14/17,341
8/14/16,10
8/14/15,253
6/11/17,176
4/2/17,41
11/25/16,3
4/14/16,53
9/27/15,51
9/27/16,85
9/27/17,182
1/24/17,201
11/27/17,169
5/20/15,80
5/20/17,170
5/20/16,59
5/23/17,79
11/13/16,36
1/3/18,90
2/11/16,33
2/22/16,43
1/10/15,74
1/10/18,212
9/5/16,66
1/3/16,1
9/16/16,9
2/22/18,64
2/13/17,46
6/2/16,67
1/7/18,44
11/17/17,52
8/11/15,69
1/7/15,17
8/11/17,214
4/16/17,48
12/24/14,13
4/16/16,30
6/27/17,376
10/5/17,262
8/17/16,60
8/17/17,236
8/17/15,18
11/24/15,20
11/24/17,2
11/24/16,28
11/19/15,65
2/12/17,38
11/19/17,13
8/15/15,37
8/15/16,49
1/13/16,11
7/1/16,33
1/13/15,70
3/7/18,363
2/22/17,188
2/19/18,58
11/26/17,4
2/1/16,11
2/1/17,48
