date,count
4/13/16,6
7/8/16,134
12/31/15,32
4/13/17,61
4/30/17,661
6/21/16,56
11/11/16,9
7/11/17,23
7/11/16,89
6/17/16,172
4/24/17,344
1/30/18,169
6/17/17,5
7/17/17,65
10/8/17,80
10/8/16,65
6/13/17,222
4/22/17,51
6/20/16,20
6/20/17,67
11/14/16,44
11/14/17,99
7/15/17,35
7/15/16,72
1/14/16,82
2/26/17,12
2/15/17,37
4/7/16,3
4/7/17,81
3/31/17,80
3/31/16,57
4/23/17,24
11/16/16,23
11/16/17,53
7/5/17,222
8/16/17,170
8/16/16,57
9/8/16,51
8/2/17,356
6/22/16,60
6/22/17,86
7/9/17,3
7/9/16,124
4/10/16,4
3/4/17,25
4/21/17,54
6/12/16,32
7/10/16,191
2/13/18,4
7/5/16,225
2/10/18,49
4/6/17,108
7/1/16,55
1/28/17,106
1/28/16,20
3/30/16,35
3/30/17,186
1/11/18,44
9/26/17,145
9/26/16,33
1/1/16,2
8/13/16,16
8/13/17,132
7/14/16,164
7/14/17,5
9/24/17,110
9/24/16,6
4/8/17,60
4/8/16,14
8/6/17,351
9/9/17,79
9/9/16,155
3/13/17,24
3/13/16,198
10/26/17,91
1/11/17,60
1/2/16,4
2/10/16,48
4/9/17,39
5/17/17,105
4/4/17,193
4/4/16,27
1/2/18,35
8/10/17,248
8/10/16,43
8/12/17,33
8/12/16,24
6/13/16,141
4/20/17,19
1/6/18,165
1/24/18,43
9/17/16,20
2/28/16,1
2/28/17,16
4/10/17,111
3/11/16,73
9/25/16,10
9/25/17,140
2/10/17,31
1/11/16,2
6/24/16,30
6/24/17,77
1/6/16,8
7/16/17,183
5/16/17,38
8/14/17,267
8/14/16,4
4/14/17,39
11/25/16,5
4/14/16,38
9/27/16,102
9/27/17,115
11/27/17,120
5/20/17,121
5/23/17,57
1/3/18,60
2/11/16,14
2/11/17,13
1/10/18,129
2/22/17,196
1/3/16,3
9/16/16,10
1/7/18,28
11/17/17,48
1/7/16,8
8/11/16,96
8/11/17,180
4/16/17,50
6/27/17,211
10/5/17,163
8/17/16,51
8/17/17,175
11/24/17,1
11/24/16,26
1/13/17,19
11/19/17,14
8/15/16,49
2/12/16,12
11/26/17,4
2/1/16,8
2/1/17,33
2/1/18,30
4/1/16,97
7/6/17,90
7/28/17,144
10/1/16,85
10/1/17,320
4/19/17,252
9/21/16,21
4/5/17,163
11/3/17,205
11/3/16,88
6/2/17,133
3/10/16,46
3/10/17,15
10/4/17,111
10/4/16,53
2/4/17,100
2/4/18,131
2/9/18,117
8/4/17,347
10/6/17,112
10/6/16,22
2/9/16,31
2/9/17,187
1/15/17,8
1/18/16,8
1/15/16,22
2/7/16,8
2/7/17,66
2/5/18,141
2/5/16,2
2/5/17,60
2/7/18,116
8/20/17,225
5/19/17,167
6/23/16,93
11/9/17,123
11/9/16,102
6/25/17,261
6/25/16,20
12/12/17,180
7/29/16,64
7/29/17,303
10/7/16,12
8/23/16,62
2/8/18,58
2/8/17,19
2/8/16,19
11/5/17,20
11/5/16,1
11/20/17,66
11/20/16,3
2/2/18,96
2/3/18,80
11/2/17,187
8/21/17,329
8/21/16,8
2/3/16,10
2/3/17,43
2/6/18,59
4/2/17,46
4/2/16,30
1/24/17,194
10/5/16,149
6/27/16,151
2/12/17,20
1/13/16,2
1/26/18,37
1/26/17,150
1/26/16,6
5/11/17,149
2/12/18,67
8/19/17,219
